Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
0.0019546,0.987,-0.048,0,1,0
0.1953805,996.987,-0.048,0,1,0
0.197555,996.987,-0.048,0,1,0
0.1984582,996.987,-0.048,0,1,0
0.1992563,996.987,-0.048,0,1,0
0.1999505,996.987,-0.048,0,1,0
0.200919,996.987,-0.048,0,1,0
0.2018385,996.987,-0.048,0,1,0
0.202707,996.987,-0.048,0,1,0
0.2043303,996.987,-0.048,0,1,0
0.2066025,996.987,-0.048,0,1,0
0.2082251,996.987,-0.048,0,1,0
0.2091765,996.987,-0.048,0,1,0
0.2103003,996.987,-0.048,0,1,0
0.2112747,996.987,-0.048,0,1,0
0.2122133,996.987,-0.048,0,1,0
0.213053,996.987,-0.048,0,1,0
0.2138134,996.987,-0.048,0,1,0
0.2145311,996.987,-0.048,0,1,0
0.2152388,996.987,-0.048,0,1,0
0.2164996,996.987,-0.048,0,1,0
0.2178371,996.987,-0.048,0,1,0
0.2192505,996.987,-0.048,0,1,0
0.220509,996.987,-0.048,0,1,0
0.2216948,996.987,-0.048,0,1,0
0.2331817,996.987,-0.048,0,1,0
0.2476993,996.987,-0.048,0,1,0
0.2661901,996.987,-0.048,0,1,0
0.2793388,996.987,-0.048,0,1,0
0.2942687,996.987,-0.048,0,1,0
0.2961112,996.987,-0.048,0,1,0
0.3084703,996.987,-0.048,0,1,0
0.3237817,996.987,-0.048,0,1,0
0.3395586,996.987,-0.048,0,1,0
0.3547819,996.987,-0.048,0,1,0
0.5194202,996.987,-0.048,0,1,0
0.5220034,996.987,-0.048,0,1,0
0.5236846,996.987,-0.048,0,1,0
0.5252906,996.987,-0.048,0,1,0
0.5264255,996.987,-0.048,0,1,0
0.5272917,996.987,-0.048,0,1,0
0.5281703,996.987,-0.048,0,1,0
0.5291362,996.987,-0.048,0,1,0
0.5303709,996.987,-0.048,0,1,0
0.5319308,996.987,-0.048,0,1,0
0.5330069,996.987,-0.048,0,1,0
0.5339707,996.987,-0.048,0,1,0
0.5405139,996.987,-0.048,0,1,0
0.6514669,996.987,-0.048,0,1,0
0.6541873,996.987,-0.048,0,1,0
0.6561318,996.987,-0.048,0,1,0
0.6574299,996.987,-0.048,0,1,0
0.6584972,996.987,-0.048,0,1,0
0.6593735,996.987,-0.048,0,1,0
0.660225,996.987,-0.048,0,1,0
0.6609347,996.987,-0.048,0,1,0
0.6651461,996.987,-0.048,0,1,0
0.6804426,996.987,-0.048,0,1,0
0.6962485,996.987,-0.048,0,1,0
0.807711,996.987,-0.048,0,1,0
0.8109503,996.987,-0.048,0,1,0
0.8126859,996.987,-0.048,0,1,0
0.8141373,996.987,-0.048,0,1,0
0.8156432,996.987,-0.048,0,1,0
0.8169329,996.987,-0.048,0,1,0
0.8180263,996.987,-0.048,0,1,0
0.8190888,996.987,-0.048,0,1,0
0.8226827,996.987,-0.048,0,1,0
0.8360885,996.987,-0.048,0,1,0
0.8554916,996.987,-0.048,0,1,0
0.858572,996.987,-0.048,0,1,0
0.9416153,996.987,-0.048,0,1,0
0.9432523,996.987,-0.048,0,1,0
0.9440023,996.987,-0.048,0,1,0
0.9448965,996.987,-0.048,0,1,0
0.9456053,996.987,-0.048,0,1,0
0.9463969,996.987,-0.048,0,1,0
0.959903,996.987,-0.048,0,1,0
0.9753105,996.987,-0.048,0,1,0
0.9921051,996.987,-0.048,0,1,0
0.9932442,996.987,-0.048,0,1,0
1.0062407,996.987,-0.048,0,1,0
1.0223392,996.987,-0.048,0,1,0
1.0381585,996.987,-0.048,0,1,0
1.0534081,996.987,-0.048,0,1,0
1.0694964,996.987,-0.048,0,1,0
1.1423709,996.987,-0.048,0,1,0
1.1443667,996.987,-0.048,0,1,0
1.1451807,996.987,-0.048,0,1,0
1.1460409,996.987,-0.048,0,1,0
1.1475437,996.987,-0.048,0,1,0
1.1490267,996.987,-0.048,0,1,0
1.1632626,996.987,-0.048,0,1,0
1.1784714,996.987,-0.048,0,1,0
1.1939118,996.987,-0.048,0,1,0
1.2508411,996.987,-0.048,0,1,0
1.2534771,996.987,-0.048,0,1,0
1.2560721,996.987,-0.048,0,1,0
1.2574655,996.987,-0.048,0,1,0
1.2720758,996.987,-0.048,0,1,0
1.273476,996.987,-0.048,0,1,0
1.2876798,996.987,-0.048,0,1,0
1.303125,996.987,-0.048,0,1,0
1.3615864,996.987,-0.048,0,1,0
1.3630711,996.987,-0.048,0,1,0
1.3645081,996.987,-0.048,0,1,0
1.3664564,996.987,-0.048,0,1,0
1.3811292,996.987,-0.048,0,1,0
1.3961852,996.987,-0.048,0,1,0
1.4585656,996.987,-0.048,0,1,0
1.4606393,996.987,-0.048,0,1,0
1.4617803,996.987,-0.048,0,1,0
1.4628743,996.987,-0.048,0,1,0
1.4642026,996.987,-0.048,0,1,0
1.4735313,996.987,-0.048,0,1,0
1.488725,996.987,-0.048,0,1,0
1.5039457,996.987,-0.048,0,1,0
1.5575267,996.987,-0.048,0,1,0
1.5597793,996.987,-0.048,0,1,0
1.5606987,996.987,-0.048,0,1,0
1.5622053,996.987,-0.048,0,1,0
1.567251,996.987,-0.048,0,1,0
1.5824685,996.987,-0.048,0,1,0
1.597493,996.987,-0.048,0,1,0
1.6129854,996.987,-0.048,0,1,0
1.6737831,996.987,-0.048,0,1,0
1.6762852,996.987,-0.048,0,1,0
1.6775856,996.987,-0.048,0,1,0
1.678354,996.987,-0.048,0,1,0
1.6905526,996.987,-0.048,0,1,0
1.692141,996.987,-0.048,0,1,0
1.7059359,996.987,-0.048,0,1,0
1.7221726,996.987,-0.048,0,1,0
1.7764074,996.987,-0.048,0,1,0
1.7777085,996.987,-0.048,0,1,0
1.7783439,996.987,-0.048,0,1,0
1.78362,996.987,-0.048,0,1,0
1.7987754,996.987,-0.048,0,1,0
1.8145531,996.987,-0.048,0,1,0
1.8750026,996.987,-0.048,0,1,0
1.8775596,996.987,-0.048,0,1,0
1.8791682,996.987,-0.048,0,1,0
1.8806966,996.987,-0.048,0,1,0
1.8817576,996.987,-0.048,0,1,0
1.8921007,996.987,-0.048,0,1,0
1.9075706,996.987,-0.048,0,1,0
1.9233782,996.987,-0.048,0,1,0
1.9787368,996.987,-0.048,0,1,0
1.9803403,996.987,-0.048,0,1,0
1.9810893,996.987,-0.048,0,1,0
1.9820747,996.987,-0.048,0,1,0
